brand,Model,year,number_of_cylinders,engine_capacity_in_liters,engine_type,transmission,mixed_fuel_consumption_per_100_km_l,CO2_emissions_g/km
Audi,A3,2020,4,1.4,Gasoline,Manual,4.75,
Audi,A4,2011,4,2,Diesel,Manual,4.75,
Audi,A4,2020,4,2,Diesel,Manual,4.75,
Audi,A4,2020,4,2,diesel,Manual,4.75,119
Audi,A5,2020,4,2,Diesel,Manual,4.75,
Audi,A3,2008,4,1.9,Diesel,Manual,4.8,
Audi,A3,2013,4,2,Diesel,Manual,4.8,
Audi,A4,2016,4,2,Diesel,Manual,4.8,
Audi,A5,2016,4,2,Diesel,Manual,4.8,
Audi,A6,2014,4,2,Diesel,Manual,4.8,
Audi,A1,2020,3,1,Gasoline,Manual,4.85,
Audi,A3,2016,4,2,Diesel,Manual,4.85,
Audi,A3,2020,4,2,Diesel,Manual,4.85,
Audi,Q2,2020,4,2,diesel,Manual,4.85,122
Audi,Q3,2020,4,2,diesel,Manual,4.85,121
Audi,A3,2020,4,1.4,Gasoline,Manual,4.9,
Audi,A4,2016,4,2,Diesel,Manual,4.9,
Audi,A5,2016,4,2,Diesel,Manual,4.9,
Audi,A5,2016,4,2,Diesel,Automatic,4.9,
Audi,A1,2020,3,1,Gasoline,Manual,4.95,106
